,Date (MST),Date (MPT),Asset Short Name,Asset Name,Asset Grouping,Volume,Maximum Capability,System Capability,Fuel Type,Sub Fuel Type,Planning Area,Region,Asset Utilization
50136,2023-01-01 00:00:00,2023-01-01,FH1,FH1 Fort Hills,FH1,189.6840913052029,199.0,199.0,GAS,COGENERATION,25,Northeast,0.9531863884683563
50880,2023-01-01 00:00:00,2023-01-01,FMG1,FMG1 Forty Mile Granlea,FMG1,0.0538333301246166,200.0,200.0,WIND,WIND,4,South,0.000269166650623083
51624,2023-01-01 00:00:00,2023-01-01,FNG1,FNG1 Fort Nelson,FNG1,51.92754735734728,73.0,73.0,GAS,COMBINED_CYCLE,17,Northwest,0.7113362651691408
52368,2023-01-01 00:00:00,2023-01-01,GDP1,GDP1 Garden Plain,GDP1,0.0,130.0,130.0,WIND,WIND,42,Central,0.0
53112,2023-01-01 00:00:00,2023-01-01,GEN5,GEN5 Carson Creek,GEN5,11.90549962202708,15.0,15.0,GAS,SIMPLE_CYCLE,26,Northwest,0.7936999748018053
53856,2023-01-01 00:00:00,2023-01-01,GEN6,GEN6 Judy Creek,GEN6,11.09999942779541,15.0,15.0,GAS,SIMPLE_CYCLE,26,Northwest,0.7399999618530273
54600,2023-01-01 00:00:00,2023-01-01,GN1,GN1 Genesee #1,GN1,399.39115936279296,400.0,400.0,COAL,COAL,40,Edmonton,0.9984778984069824
55344,2023-01-01 00:00:00,2023-01-01,GN2,GN2 Genesee #2,GN2,417.7851608445909,420.0,420.0,COAL,COAL,40,Edmonton,0.9947265734395021
56088,2023-01-01 00:00:00,2023-01-01,GN3,GN3 Genesee #3,GN3,464.6701616244846,466.0,466.0,DUAL FUEL,DUAL FUEL,40,Edmonton,0.9971462695804391
56832,2023-01-01 00:00:00,2023-01-01,GOC1,GOC1 Gold Creek Facility,GOC1,0.0,5.0,5.0,OTHER,Oil/Gas,20,Northwest,0.0
57576,2023-01-01 00:00:00,2023-01-01,GPEC,GPEC Grande Prairie,GPEC,11.30908380402459,18.0,18.0,OTHER,Wood/Refuse,20,Northwest,0.6282824335569217
58320,2023-01-01 00:00:00,2023-01-01,GRZ1,GRZ1 Grizzly Bear Creek,GRZ1,0.0,152.0,152.0,WIND,WIND,13,Central,0.0
59064,2023-01-01 00:00:00,2023-01-01,GWW1,GWW1 GW Wind #1,GWW1,65.15350718816121,71.0,71.0,WIND,WIND,53,South,0.917655030819172
59808,2023-01-01 00:00:00,2023-01-01,HAL1,HAL1 Halkirk Wind Power Facility,HAL1,18.34317274676429,150.0,150.0,WIND,WIND,42,Central,0.12228781831176193
60552,2023-01-01 00:00:00,2023-01-01,HHW1,HHW1 Hand Hills,HHW1,0.0,145.0,145.0,WIND,WIND,42,Central,0.0
61296,2023-01-01 00:00:00,2023-01-01,HLD1,HLD1 Hilda Wind,HLD1,0.0,100.0,100.0,WIND,WIND,48,South,0.0
62040,2023-01-01 00:00:00,2023-01-01,HMT1,HMT1 ALP,HMT1,37.72190177917481,45.0,45.0,GAS,COGENERATION,39,Central,0.8382644839816624
62784,2023-01-01 00:00:00,2023-01-01,HRM,HRM H.R. Milner,HRM,0.0,300.0,300.0,GAS,SIMPLE_CYCLE,22,Northwest,0.0
63528,2023-01-01 00:00:00,2023-01-01,HRT1,HRT1 Heartland Petrochemical,HRT1,48.26722128550212,108.0,108.0,GAS,COGENERATION,33,Northeast,0.4469187156065011
64272,2023-01-01 00:00:00,2023-01-01,HRV1,HRV1 High River 1,HRV1,8.300000190734863,10.0,10.0,GAS,SIMPLE_CYCLE,46,South,0.8300000190734863
65016,2023-01-01 00:00:00,2023-01-01,HUL1,HUL1 Hull,HUL1,0.0,25.0,25.0,SOLAR,SOLAR,52,South,0.0
65760,2023-01-01 00:00:00,2023-01-01,HYS1,HYS1 Hays,HYS1,0.0,23.0,23.0,SOLAR,SOLAR,52,South,0.0
66504,2023-01-01 00:00:00,2023-01-01,ICP1,"ICP1 Drops 4, 5, 6",ICP1,0.0,7.0,7.0,HYDRO,HYDRO,55,South,0.0
67248,2023-01-01 00:00:00,2023-01-01,IEW1,IEW1 Summerview Phase 1,IEW1,44.43727703094483,66.0,66.0,WIND,WIND,53,South,0.6732920762264367
67992,2023-01-01 00:00:00,2023-01-01,IEW2,IEW2 Summerview Phase 2,IEW2,25.807110606299503,66.0,66.0,WIND,WIND,53,South,0.3910168273681743
68736,2023-01-01 00:00:00,2023-01-01,INF1,INF1 Innisfail,INF1,0.0,22.0,22.0,SOLAR,SOLAR,39,Central,0.0
