,Date (MST),Date (MPT),Asset Short Name,Asset Name,Asset Grouping,Volume,Maximum Capability,System Capability,Fuel Type,Sub Fuel Type,Planning Area,Region,Asset Utilization
96264,2023-01-01 00:00:00,2023-01-01,PR1,PR1 Primrose #1,PR1,83.20300813886854,100.0,100.0,GAS,COGENERATION,28,Central,0.8320300813886854
97008,2023-01-01 00:00:00,2023-01-01,RB5,RB5 Rainbow #5,RB5,48.59466584523519,50.0,50.0,GAS,SIMPLE_CYCLE,17,Northwest,0.9718933169047038
97752,2023-01-01 00:00:00,2023-01-01,RIV1,RIV1 Riverview,RIV1,83.05166445414226,105.0,105.0,WIND,WIND,53,South,0.7909682328965929
98496,2023-01-01 00:00:00,2023-01-01,RL1,RL1 Rainbow Lake #1,RB5,43.787611156039766,47.0,47.0,GAS,COGENERATION,17,Northwest,0.9316513011923354
99240,2023-01-01 00:00:00,2023-01-01,RTL1,RTL1 Rattlesnake Ridge Wind,RTL1,0.0,130.0,130.0,WIND,WIND,4,South,0.0
99984,2023-01-01 00:00:00,2023-01-01,RYMD,RYMD Raymond Reservoir,RYMD,0.0,21.0,21.0,HYDRO,HYDRO,55,South,0.0
100728,2023-01-01 00:00:00,2023-01-01,SCL1,SCL1 Syncrude #1,SCL1,440.74962414211694,510.0,510.0,GAS,COGENERATION,25,Northeast,0.8642149492982685
101472,2023-01-01 00:00:00,2023-01-01,SCR1,SCR1 Base Plant,SCR1,36.3410800658332,50.0,50.0,GAS,COGENERATION,25,Northeast,0.726821601316664
102216,2023-01-01 00:00:00,2023-01-01,SCR2,SCR2 Magrath,SCR2,18.507384023666383,30.0,30.0,WIND,WIND,55,South,0.6169128007888794
102960,2023-01-01 00:00:00,2023-01-01,SCR3,SCR3 Suncor Chin Chute,SCR3,0.2773611096375518,30.0,30.0,WIND,WIND,54,South,0.009245370321251726
103704,2023-01-01 00:00:00,2023-01-01,SCR4,SCR4 Wintering Hills,SCR4,0.9513055190775128,88.0,88.0,WIND,WIND,43,South,0.010810289989517191
104448,2023-01-01 00:00:00,2023-01-01,SCR5,SCR5 Poplar Creek,SCR1,342.37253428141275,376.0,376.0,GAS,COGENERATION,25,Northeast,0.9105652507484382
105192,2023-01-01 00:00:00,2023-01-01,SCR6,SCR6 Firebag,SCR1,440.698375837538,497.0,497.0,GAS,COGENERATION,25,Northeast,0.8867170539990704
